Date,Close
9/18/2014,1.0947
9/19/2014,1.0949
9/22/2014,1.1034
9/23/2014,1.1068
9/24/2014,1.106
9/25/2014,1.1096
9/26/2014,1.1157
9/29/2014,1.1149
9/30/2014,1.1207
10/1/2014,1.1169
10/2/2014,1.1157
10/3/2014,1.1257
10/6/2014,1.1129
10/7/2014,1.1165
10/8/2014,1.1113
10/9/2014,1.1163
10/10/2014,1.1211
10/13/2014,1.1197
10/14/2014,1.1303
10/15/2014,1.1265
10/16/2014,1.1253
10/17/2014,1.1275
10/20/2014,1.128
10/21/2014,1.1226
10/22/2014,1.1241
10/23/2014,1.123
10/24/2014,1.1231
10/27/2014,1.1238
10/28/2014,1.1172
10/29/2014,1.12
10/30/2014,1.1183
10/31/2014,1.1272
11/3/2014,1.1361
11/4/2014,1.1399
11/5/2014,1.1395
11/6/2014,1.1423
11/7/2014,1.1331
11/10/2014,1.1375
11/11/2014,1.1326
11/12/2014,1.131
11/13/2014,1.1368
11/14/2014,1.1278
11/17/2014,1.1301
11/18/2014,1.1301
11/19/2014,1.1349
11/20/2014,1.1305
11/21/2014,1.1238
11/24/2014,1.1294
11/25/2014,1.1259
11/26/2014,1.1234
11/27/2014,1.1346
11/28/2014,1.143
12/1/2014,1.1325
12/2/2014,1.1405
12/3/2014,1.1365
12/4/2014,1.1382
12/5/2014,1.1429
12/8/2014,1.1479
12/9/2014,1.1435
12/10/2014,1.1479
12/11/2014,1.1533
12/12/2014,1.1571
12/15/2014,1.1651
12/16/2014,1.1635
12/17/2014,1.1642
12/18/2014,1.1592
12/19/2014,1.1606
12/22/2014,1.1643
12/23/2014,1.1624
12/24/2014,1.163
12/25/2014,1.162
12/26/2014,1.1624
12/29/2014,1.1635
12/30/2014,1.1603
12/31/2014,1.1607
1/1/2015,1.1617
1/2/2015,1.1761
1/5/2015,1.1748
1/6/2015,1.1821
1/7/2015,1.1823
1/8/2015,1.1839
1/9/2015,1.1862
1/12/2015,1.1958
1/13/2015,1.1948
1/14/2015,1.1948
1/15/2015,1.197
1/16/2015,1.1965
1/19/2015,1.1949
1/20/2015,1.21
1/21/2015,1.2336
1/22/2015,1.2408
1/23/2015,1.2426
1/26/2015,1.2461
1/27/2015,1.2397
1/28/2015,1.2515
1/29/2015,1.2614
1/30/2015,1.2696
2/2/2015,1.2574
2/3/2015,1.2398
2/4/2015,1.2552
2/5/2015,1.2427
2/6/2015,1.2525
2/9/2015,1.2463
2/10/2015,1.2579
2/11/2015,1.2649
2/12/2015,1.2482
2/13/2015,1.2463
2/16/2015,1.24671
2/17/2015,1.2382
2/18/2015,1.2423
2/19/2015,1.2496
2/20/2015,1.25368
2/23/2015,1.25763
2/24/2015,1.24836
2/25/2015,1.24354
2/26/2015,1.25242
2/27/2015,1.25013
3/2/2015,1.2539
3/3/2015,1.24823
3/4/2015,1.24117
3/5/2015,1.25067
3/6/2015,1.2613
3/9/2015,1.25901
3/10/2015,1.26831
3/11/2015,1.27551
3/12/2015,1.27144
3/13/2015,1.27827
3/16/2015,1.2781
3/17/2015,1.27789
3/18/2015,1.25286
3/19/2015,1.2738
3/20/2015,1.25776
3/23/2015,1.25002
3/24/2015,1.24962
3/25/2015,1.25168
3/26/2015,1.24705
3/27/2015,1.25981
3/30/2015,1.26934
3/31/2015,1.26592
4/1/2015,1.26232
4/2/2015,1.2567
4/3/2015,1.2444
4/6/2015,1.24966
4/7/2015,1.25012
4/8/2015,1.25448
4/9/2015,1.25951
4/10/2015,1.25859
4/13/2015,1.2586
4/14/2015,1.24907
4/15/2015,1.23093
4/16/2015,1.21722
4/17/2015,1.2226
4/20/2015,1.2223
4/21/2015,1.2282
4/22/2015,1.2227
4/23/2015,1.2148
4/24/2015,1.21673
4/27/2015,1.20984
4/28/2015,1.20241
4/29/2015,1.20122
4/30/2015,1.2096
5/1/2015,1.2157
5/4/2015,1.2092
5/5/2015,1.207
5/6/2015,1.2041
5/7/2015,1.21291
5/8/2015,1.2089
5/11/2015,1.2097
5/12/2015,1.2002
5/13/2015,1.19708
5/14/2015,1.19973
5/15/2015,1.20223
5/18/2015,1.21643
5/19/2015,1.22268
5/20/2015,1.2191
5/21/2015,1.2207
5/22/2015,1.2301
5/25/2015,1.23087
5/26/2015,1.24221
5/27/2015,1.2456
5/28/2015,1.24301
5/29/2015,1.24449
6/1/2015,1.25319
6/2/2015,1.24058
6/3/2015,1.2453
6/4/2015,1.2491
6/5/2015,1.24386
6/8/2015,1.24
6/9/2015,1.2341
6/10/2015,1.22651
6/11/2015,1.22799
6/12/2015,1.23109
6/15/2015,1.2312
6/16/2015,1.23126
6/17/2015,1.2236
6/18/2015,1.22276
6/19/2015,1.2264
6/22/2015,1.23279
6/23/2015,1.23396
6/24/2015,1.2396
6/25/2015,1.23238
6/26/2015,1.23158
6/29/2015,1.23906
6/30/2015,1.2484
7/1/2015,1.2588
7/2/2015,1.2551
7/3/2015,1.25787
